ID,Glider,Model,Manufacturer,Competition Class,Kind,Wingarea,Empty Weight,Reference Mass,MTOW,Min Speed,Polar Coeffs,Double Seater,Exclude Live,Vintage,Self-Launcher,2016,2017,2018,2019,2020,2021,2022,2023,2024
107,ASW 28 18m,ASW 28 E 18m,Alexander Schleicher,18,MG,11.88,320.0,398.3,575.0,75.12,-0.0000078:0.0011136:-0.0603129:1.4224275:-12.7431871,,,,,114,114,116,114,114,114,113,114,114
108,Discus 2c 18m,Discus 2c 18m,Schempp-Hirth,18,GL,11.36,280.0,443.04,565.0,80.57,-0.0000069:0.0010410:-0.0596390:1.4932199:-14.2408358,,,,,114,114,114,114,114,114,113,114,114
109,Discus 2c 18m,Discus 2cFES 18m,Schempp-Hirth,18,FG,11.36,330.0,443.04,565.0,80.57,-0.0000069:0.0010410:-0.0596390:1.4932199:-14.2408358,,,,,114,114,114,114,114,114,113,114,114
110,Discus 2c 18m,Discus 2cT 18m,Schempp-Hirth,18,MG,11.36,330.0,443.04,565.0,80.57,-0.0000069:0.0010410:-0.0596390:1.4932199:-14.2408358,,,,,114,114,114,114,114,114,113,114,114
111,LAK-19 18m,LAK-19 18m,Sportinė Aviacija,18,GL,9.6,226.0,338.4,500.0,76.13,-0.0000111:0.0017266:-0.1007859:2.5425178:-23.7162454,,,,,114,114,116,114,114,114,113,114,114
112,LS 8 18m,LS 8 18m,DG Flugzeugbau,18,GL,11.4,275.0,365.0,575.0,71.00,-0.0000079:0.0010386:-0.0524499:1.1504136:-9.6523418,,,,,114,114,114,114,114,114,113,114,114
113,LS 8 18m,LS 8T 18m,DG Flugzeugbau,18,MG,11.4,325.0,365.0,575.0,71.00,-0.0000079:0.0010386:-0.0524499:1.1504136:-9.6523418,,,,,114,114,114,114,114,114,113,114,114
114,DG 600 17m,DG 600 17m,DG Flugzeugbau,18,GL,11.59,270.0,361.61,525.0,73.00,-0.0000111:0.0015204:-0.0786212:1.7659455:-14.9435046,,,,,113,113,113,113,113,113,113,113,113
115,DG 600 17m,DG 600M 17m,DG Flugzeugbau,18,MG,11.59,320.0,361.61,525.0,73.00,-0.0000111:0.0015204:-0.0786212:1.7659455:-14.9435046,,,,x,113,113,113,113,113,113,113,113,113
116,Ventus 16.6m,Ventus a 16.6m,Schempp-Hirth,18,GL,9.96,243.0,323.7,430.0,69.00,-0.0000012:0.0002030:-0.0140077:0.3809996:-4.0318708,,,,,113,113,113,113,113,113,113,114,114
117,Ventus 16.6m,Ventus b 16.6m,Schempp-Hirth,18,GL,9.96,243.0,323.7,430.0,69.00,-0.0000012:0.0002030:-0.0140077:0.3809996:-4.0318708,,,,,113,113,113,113,113,113,113,113,113
118,Ventus 16.6m,Ventus bT 16.6m,Schempp-Hirth,18,MG,9.96,293.0,323.7,430.0,69.00,-0.0000012:0.0002030:-0.0140077:0.3809996:-4.0318708,,,,,113,113,113,113,113,113,113,113,113
119,ASW 20 16.6m,ASW 20 16.6m,Alexander Schleicher,18,GL,11.01,285.0,371.14,430.0,72.00,-0.0000039:0.0005801:-0.0333154:0.8132168:-7.6107810,,,,,112,112,112,112,112,112,112,112,112
120,Glasflügel 304 17m,Glasflügel 304 17m,Glasflügel,18,GL,10.6,260.0,380.347,450.0,72.50,-0.0000013:0.0002305:-0.0160565:0.4385501:-4.5689128,,,,,112,112,112,112,112,112,112,112,112
121,HpH 304 CZ 17.4m,HpH 304 CZ 17.4m,HpH Sailplanes,18,GL,10.68,235.0,,450.0,,,,,,,112,112,112,112,112,112,112,112,112
122,ASW 20 Top 16.6m,ASW 20 Top 16.6m,Alexander Schleicher,18,MG,11.01,325.0,371.14,430.0,72.00,-0.0000039:0.0005801:-0.0333154:0.8132168:-7.6107810,,,,x,110,110,110,110,110,110,110,110,110
123,Kestrel 17m,Kestrel 17m,Glasflügel,18,GL,11.58,260.0,367.086,400.0,70.00,-0.0000045:0.0006268:-0.0336614:0.7715560:-6.8806019,,,,,110,110,110,110,110,110,110,110,110
124,DG 200 17m,DG 200 17m,DG Flugzeugbau,18,GL,10.57,251.0,336.126,450.0,68.50,-0.0000024:0.0003230:-0.0181813:0.4359256:-4.1921533,,,,,109,109,109,109,109,109,109,109,109
125,DG 400 17m,DG 400 17m,DG Flugzeugbau,18,MG,10.57,310.0,405.888,460.0,74.00,-0.0000019:0.0003154:-0.0203805:0.5391497:-5.4921923,,,,x,109,109,109,109,109,109,109,109,109
126,LS 3 17m,LS 3 17m,Rolladen-Schneider,18,GL,11.22,255.0,370.26,370.0,69.00,0.0000004:-0.0000548:0.0002476:0.0537373:-1.3526066,,,,,109,109,109,109,109,109,109,109,109
127,Mosquito 17m,Mosquito 17m,Glasflügel,18,GL,,,,,,,,,,,109,109,109,109,109,109,109,109,109
128,BS-1,BS-1,Glasflügel,18,GL,14.20,335.0,,460.0,,,,,,,108,108,108,108,108,108,108,108,108
129,D 36,D 36,Akaflieg Darmstadt,18,GL,12.8,285.0,,450.0,,,,,,,108,108,108,108,108,108,108,108,108
130,Diamant 18,Diamant 18,FFA,18,GL,,,,,,,,,,,108,108,108,108,108,108,108,108,108
131,Mü 26,Mü 26,Akaflieg München,18,GL,15.3,212.0,,382.0,,,,,,,102,102,102,102,102,102,102,102,102
132,SZD-39 Cobra 17,SZD-39 Cobra 17,PZL Bielsko,18,GL,17.00,298.0,,490.0,,,,,,,100,100,100,100,100,100,100,100,100
133,Std. Libelle 17m,Std. Libelle 17m,Glasflügel,18,GL,,,,,,,,,,,100,100,100,100,100,100,100,100,100
134,Std. Cirrus,Std. Cirrus,Schempp-Hirth,Club,GL,10.04,202.0,357.4,390.0,74.78,-0.0000023:0.0003245:-0.0186987:0.4582391:-4.6219841,,,,,99,99,99,99,99,99,99,99,99
135,ASW 15,ASW 15,Alexander Schleicher,Club,GL,11.0,210.0,349.0,,77.56,-0.0025412:0.1096032:-1.8739587,,,,,97,97,97,97,97,97,97,97,97
