ID,Glider,Model,Wingarea,Empty Mass,Reference Mass,MTOW,Polar,Min Speed
623,LAK-17 21m,LAK-17C FES 21m,11.58,332,,600,,
624,PIK-30,PIK-30,10.00,330,,460,,
625,LS 4,LS 4 Jet,10.5,235.0,338.0,525.0,LS4.POL,
626,S18 II,S18 II,,,,,,
627,LS 1,LS 1-d neo,9.74,200.0,287.33,341.0,LS1CII.POL,
628,HP 24,HP 24 15m,10.02,239.0,,375.0,,
629,GP 14 Velo SE,GP 14 Velo SE,7.0,205.0,,420.0,,
630,Stratos 300,Stratos 300,13.86,170.0,,300.0,,
631,LS 1,LS 1-c neo,9.74,200.0,287.33,341.0,LS1CII.POL,
632,FK-3,FK-3,13.8,240.0,,400.0,,
633,Swift-Light,Swift-Light E,12.5,95.0,191.0,191.0,70.0:-0.77:90.0:-1.15:120.0:-2.4,
634,Swift-Light,Swift-Light,12.5,60.0,191.0,191.0,70.0:-0.77:90.0:-1.15:120.0:-2.4,
635,Diamant 16.5,Diamant 16.5,12.2,270.0,,408.0,,
636,AC-5,AC-5M,7.7,180.0,,300.0,,
637,AC-5,AC-5K,7.7,180.0,,300.0,,
638,AC-5,AC-5Me,7.7,180.0,,300.0,,
639,Reiher III,Reiher III,19.36,230.0,,315.00,,
640,LS 3,LS 3 neo,10.5,270.0,372.75,472.0,LS3.POL,
641,Perlan 2,Perlan 2,24.4,574.0,,816.0,,
642,Mg 19,Mg 19,21.0,298.0,,480.0,,
643,Vuk-T,Vuk-T,11.96,260.0,,385.0,,
644,SunDancer,SunDancer DF-15,12.6,290.0,,600.0,,
645,SunDancer,SunDancer DF-13,12.6,290.0,,600.0,,
646,Briegleb BG-6,Briegleb BG-6,10.91,193.0,,300.0,,
647,Briegleb BG-12,Briegleb BG-12,13.1,227.0,,409.0,,
648,Briegleb BG-12,Briegleb BG-12/16,13.1,227.0,,409.0,,
649,CVT M-200,CVT M-200,17.5,345.0,,570.0,,
650,Morelli M-100,Morelli M-100,13.1,155.0,,315.0,,
651,Schweizer SGS 1-35,Schweizer SGS 1-35,9.64,180,,300.0,,
652,Schweizer SGS 1-35,Schweizer SGS 1-35C,9.64,180,,300.0,,
653,Schweizer SGS 1-35,Schweizer SGS 1-35A,9.64,180,,300.0,,
654,SZD-55-1 Nexus,SZD-55-2 Nexus-e-Motion,9.6,215.0,309.12,500.0,SZD55.POL,
655,JS5 24m,JS5 24m,12.8,450.0,,780.0,,
656,Schweizer SGU 2-22,Schweizer SGU 2-22,20.0,204.0,,376.0,,
657,Schreder HP-18,Schreder HP-18,10.5,213.0,,446.0,,
658,AN 66B,AN 66B,12.6,250.0,,400.0,,
659,Franklin PS-2,Franklin PS-2,17.0,100.0,,181.0,,
660,Ventus 3 18m,Ventus 3E 18m,10.84,400.0,582.2,600.0,Ventus3.POL,
661,Lehrmeister FES-530,Lehrmeister FES-530,17.93,270.0,,470.0,,
662,ASW 28 18m,ASW 28 B 18m,11.88,270.0,398.3,575.0,ASW28-18_2007.POL,
663,ASW 28,ASW 28 B,10.5,235.0,325.0,525.0,-0.0020=0.0828=-1.4300,80.0
664,Wassmer WA-28,Wassmer WA-28,12.6,245.0,,378.0,,
665,Wassmer WA-26,Wassmer WA-26,12.6,228.0,,353.0,,
