ID,Glider,Model,Wingarea,Empty Mass,Reference Mass,MTOW,Polar,Min Speed
23,DG 800 15m,DG 808C 15m,10.68,370.0,370.0,525.0,92.1255:-0.5811:130.0:-0.9754:170.0:-1.6933,
589,DG 800 15m,DG 808S 15m,10.68,270.0,370.0,525.0,92.1255:-0.5811:130.0:-0.9754:170.0:-1.6933,
590,DG 800 15m,DG 800LA 15m,10.68,270.0,370.0,525.0,92.1255:-0.5811:130.0:-0.9754:170.0:-1.6933,
77,DG 800 18m,DG 800A/B 18m,11.81,370.0,432.25,525.0,DG800_18.POL,
78,DG 800 18m,DG 800S 18m,11.81,270.0,432.25,525.0,DG800_18.POL,
79,DG 800 18m,DG 808C Competition 18m,11.81,370.0,432.25,600.0,DG800_18.POL,
591,DG 800 18m,DG 800LA 18m,11.81,270.0,432.25,525.0,DG800_18.POL,
592,DG 800 18m,DG 808C Classic 18m,11.81,370.0,432.25,525.0,DG800_18.POL,
593,DG 800 18m,DG 808S 18m,11.81,270.0,432.25,525.0,DG800_18.POL,
130,Diamant 18,Diamant 18,,,,,,
594,Diana-3,Diana-3,10.46,256.0,,600.0,,
595,Diana-3,Diana-3 FES,10.46,306.0,,600.0,,
324,Dimona,Dimona,15.30,470.0,670.0,770.0,100.0:-1.29:120.0:-1.61:150.0:-2.45,
467,Discus,Discus a,10.58,282.0,314.226,525.0,DISCUSA.POL,
468,Discus,Discus b,10.58,282.0,336.444,525.0,DISCUSEZ.POL,
469,Discus,Discus bM,10.58,352.0,336.444,525.0,DISCUSEZ.POL,
470,Discus,Discus bT,10.58,332.0,336.444,525.0,DISCUSEZ.POL,
500,Discus,Discus a WL,10.58,282.0,314.226,525.0,DISCUSA.POL,
501,Discus,Discus b WL,10.58,282.0,336.444,525.0,DISCUSEZ.POL,
502,Discus,Discus bM WL,10.58,352.0,336.444,525.0,DISCUSEZ.POL,
503,Discus,Discus bT WL,10.58,332.0,336.444,525.0,DISCUSEZ.POL,
450,Discus 2,Discus 2T,10.16,298.0,338.0,525.0,DISCUS2a15m.POL,
451,Discus 2,Discus 2a,10.16,248.0,338.0,525.0,DISCUS2a15m.POL,
452,Discus 2,Discus 2b,10.16,248.0,338.0,525.0,DISCUS2a15m.POL,
454,Discus 2,Discus 2c 15m,10.16,248.0,338.0,525.0,DISCUS2a15m.POL,
455,Discus 2,Discus 2cFES 15m,10.16,298.0,338.0,525.0,DISCUS2a15m.POL,
456,Discus 2,Discus 2cT 15m,10.16,298.0,338.0,525.0,DISCUS2a15m.POL,
