ID,Glider,Model,Manufacturer,Competition Class,Kind,Double Seater,Winglets,Exclude Live,2016,2017,2018,2019,2020,2021
174,Carat,Carat,AMS-Flight,Club,MG,,,x,93,93,93,93,93,93
175,ASK 23,ASK 23,Alexander Schleicher,Club,GL,,,,92,92,92,92,92,92
176,ASK 23,ASK 23 B,Alexander Schleicher,Club,GL,,,,92,92,92,92,92,92
177,Kiwi,Kiwi,Valentin Flugzeugbau,Club,GL,,,,92,92,92,92,92,92
178,fs 24 Phönix,fs 24 Phönix,Akaflieg Stuttgart,Club,GL,,,,92,92,92,92,92,92
179,fs 25,fs 25,Akaflieg Stuttgart,Club,GL,,,,92,92,92,92,92,92
180,G 102 Club Astir,G 102 Club Astir,Grob Aircraft,Club,GL,,,,91,91,91,91,91,91
181,SZD-51 Junior,SZD-51 Junior,Allstar PZL Glider,Club,GL,,,,90,90,90,90,90,90
182,Std. Austria SH 1,Std. Austria SH 1,Schempp-Hirt,Club,GL,,,,90,90,90,90,90,90
183,Zugvogel IIIb,Zugvogel IIIb,Scheibe-Flugzeugbau,Club,GL,,,,90,90,90,90,90,90
184,ASK 18,ASK 18,Alexander Schleicher,Club,GL,,,,88,88,88,88,88,88
185,Geier,Geier,Allgaier,Club,GL,,,,88,88,88,88,88,88
186,H-101 Salto,H-101 Salto,Glasflügel,Club,GL,,,,88,88,88,88,88,88
187,PIK-16 Vasama,PIK-16 Vasama,Lehtovaara,Club,GL,,,,88,88,88,88,88,88
188,SB 5e,SB 5e,Akaflieg Braunschweig,Club,GL,,,,88,88,88,88,88,88
189,SF 27 B,SF 27 B,Scheibe-Flugzeugbau,Club,GL,,,,88,88,88,88,88,88
190,SZD-24 Foka 4,SZD-24 Foka 4,PZL Bielsko,Club,GL,,,,88,88,88,88,88,88
191,Std. Austria SH,Std. Austria SH,Schempp-Hirth,Club,GL,,,,88,88,88,88,88,88
192,Zugvogel IIIa,Zugvogel IIIa,Scheibe-Flugzeugbau,Club,GL,,,,88,88,88,88,88,88
193,Greif 2,Greif 2,Heinkel Flugzeugwerke,Club,GL,,,,86,86,86,86,86,86
194,M-25,M-25,-,Club,GL,,,,86,86,86,86,86,86
195,Pilatus B4 FG,Pilatus B4 FG,Pilatus,Club,GL,,,,86,86,86,86,86,86
196,SB 5,SB 5a,Akaflieg Braunschweig,Club,GL,,,,86,86,86,86,86,86
197,SB 5,SB 5b,Akaflieg Braunschweig,Club,GL,,,,86,86,86,86,86,86
