ID,Glider,Models,Manufacturer,Competition Class,2016,2017,2018,2019,2020
305,Bergfalke 2,Bergfalke 2,Doppelsitzer,74,74,74,74,74
306,RF 5B,RF 5B,Doppelsitzer,74,74,74,74,74
307,SF 25 E,SF 25 E,Doppelsitzer,74,74,74,74,74
308,G 109 B,G 109 B,Doppelsitzer,72,72,72,72,72
309,MDM-1 Fox,MDM-1 Fox,Doppelsitzer,72,72,72,72,72
310,Taifun 17e,Taifun 17e,Doppelsitzer,70,70,70,70,70
311,Dimona,Dimona,Doppelsitzer,68,68,68,68,68
312,G 109,G 109,Doppelsitzer,68,68,68,68,68
313,H36 Dimona,H36 Dimona,Doppelsitzer,68,68,68,68,68
314,HK36 Super Dimona,HK36 Super Dimona,Doppelsitzer,68,68,68,68,68
315,Samburo AVo68-R,Samburo AVo68-R,Doppelsitzer,67,67,67,67,67
316,SF 25 C (2000),SF 25 C (2000),Doppelsitzer,67,67,67,67,67
317,SF 25C-S Falke 76,SF 25C-S Falke 76,Doppelsitzer,67,67,67,67,67
318,SF 25B Falke,SF 25B Falke,Doppelsitzer,65,65,65,65,65
319,Rhönlerche,Rhönlerche,Doppelsitzer,54,54,54,54,54
320,Specht,Specht,Doppelsitzer,54,54,54,54,54
