Glider,Models,Manufacturer,Competition Class,2016,2017,2018,2019,2020
RF 4,RF 4,Fournier,Club,74,74,74,74,74
Spatz 13m,Spatz 13m,Scheibe-Flugzeugbau,Club,74,74,74,74,74
Piccolo,Piccolo,Technoflug,Club,68,68,68,68,68
Song,Song,Gramex,Club,65,65,65,65,65
Stratos 2e,Stratos 2e,HFL Leichtflugzeugbau,Club,-,-,-,64,64
Rhönsperber,Rhönsperber,DFS,Club,62,62,62,62,62
Rhönbussard,Rhönbussard,DFS,Club,60,60,60,60,60
Grunau Baby,Grunau Baby,Schneider,Club,54,54,54,54,54
Ka/1 /3 /4,Ka [134],Alexander Schleicher,Club,54,54,54,54,54
HpH 304 TS Twin Shark,HpH 304 TS Twin Shark,HpH Sailplanes,Double,-,-,115,115,113
Arcus,Arcus( E| T| M)?,Schempp-Hirth,Double,114,114,116,116,114
ASG 32,ASG 32( Mi| EL)?,Alexander Schleicher,Double,114,114,116,116,114
LS 11,LS 11,Rolladen-Schneider,Double,111,111,111,111,111
Duo Discus XL,Duo Discus XLT?,Schempp-Hirth,Double,111,111,111,111,111
DG 1000 20m,DG 1000[STM] 20m,DG Flugzeugbau,Double,110,110,110,110,110
Duo Discus,Duo Discus( T)?,Schempp-Hirth,Double,110,110,110,110,110
fs 33,fs 33,Akaflieg Stuttgart,Double,109,109,109,109,109
Calif A 21,Calif A 21( SJ)?,Caproni,Double,108,108,108,108,108
B 12,B 12,Akaflieg Berlin,Double,106,106,106,106,106
DG 1000 18m,DG 1000[STM] 18m,DG Flugzeugbau,Double,106,106,106,106,106
Janus C FG,Janus C[TM]? FG,Schempp-Hirth,Double,106,106,106,106,106
DG 500 20m,DG 500M? 20m,DG Flugzeugbau,Double,104,104,104,104,104
DG 505 M Orion 20m,DG 505 M Orion 20m,DG Flugzeugbau,Double,104,104,104,104,104
DG 1001 18m FG,DG 1001 18m FG,DG Flugzeugbau,Double,104,104,104,104,104
Janus 18.2m,Janus 18.2m,Schempp-Hirth,Double,102,102,102,102,102
SZD-54-2 Perkoz 20m WL,SZD-54-2 Perkoz 20m WL,Allstar PZL Glider,Double,102,102,102,102,102
DG 500 Trainer RG,DG 50[05] Trainer RG,DG Flugzeugbau,Double,100,100,100,100,100
DG 505 6 Orion,DG 505 6 Orion,DG Flugzeugbau,Double,100,100,100,100,100
fs 31,fs 31,Akaflieg Stuttgart,Double,99,99,99,99,99
Taurus,Taurus,Pipistrel,Double,99,99,99,99,99
Twin 3 20m,Twin 3 20m,Grob Aircraft,Double,99,99,99,99,99
D 43 18m,D 43 18m,Akaflieg Darmstadt,Double,-,99,99,99,99
AFH 22,AFH 22,Akaflieg Hannover,Double,98,98,98,98,98
DG 500 Trainer FG,DG 50[05] Trainer FG,DG Flugzeugbau,Double,98,98,98,98,98
Silence E 75,Silence E 75,-,Double,98,98,98,98,98
SZD-54-2 Perkoz 17.5m,SZD-54-2 Perkoz 17.5m,Allstar PZL Glider,Double,98,98,98,98,98
Twin 3,Twin 3,Grob Aircraft,Double,97,97,97,97,97
G 103 Twin 3,G 103 Twin 3( SL)?,Grob Aircraft,Double,95,95,95,95,95
Twin Astir RG,Twin Astir RG,Grob Aircraft,Double,94,94,94,94,94
ASK 21,ASK 21( B| Mi)?,Alexander Schleicher,Double,92,92,92,92,92
G103 Twin 2,G103 Twin 2,Grob Aircraft,Double,92,92,92,92,92
Twin Astir Trainer FG,Twin Astir Trainer FG,Grob Aircraft,Double,92,92,92,92,92
PW 6,PW 6,PZL Świdnik,Double,86,86,86,86,86
SF 34 FG,SF 34 FG,Scheibe-Flugzeugbau,Double,86,86,86,86,86
SZD 50 Puchacz,SZD 50 Puchacz,PZL Bielsko,Double,84,84,84,84,84
IS 28 B2,IS 28 B2,ICA,Double,84,84,84,84,84
Bergfalke IV,Bergfalke IV,Scheibe-Flugzeugbau,Double,80,80,80,80,80
Condor 4,Condor 4,Alexander Schleicher,Double,80,80,80,80,80
Kranich 3,Kranich 3,DFS,Double,80,80,80,80,80
L23 SuperBlanik,L23 SuperBlanik,LET,Double,80,80,80,80,80
ASK 13,ASK 13,Alexander Schleicher,Double,78,78,78,78,78
Pipistrel Sinus,Pipistrel Sinus,Pipistrel,Double,78,78,78,78,78
RF-10,RF-10,Fournier,Double,78,78,78,78,78
RF-5B,RF-5B,Fournier,Double,78,78,78,78,78
SF 28 A,SF 28 A,Scheibe-Flugzeugbau,Double,78,78,78,78,78
ASK 16,ASK 16,Alexander Schleicher,Double,76,76,76,76,76
Bergfalke III,Bergfalke III,Scheibe-Flugzeugbau,Double,76,76,76,76,76
Bocian,Bocian,PZL Bielsko,Double,76,76,76,76,76
IS 28 M,IS 28 M,ICA,Double,76,76,76,76,76
Ka2,Ka2,Alexander Schleicher,Double,76,76,76,76,76
Kranich 2,Kranich 2,DFS,Double,76,76,76,76,76
SZD 45 A Ogar,SZD 45 A Ogar,PZL Bielsko,Double,76,76,76,76,76
PZL KR-03A Puchatek,PZL KR-03A Puchatek,PZL Krosno,Double,75,75,75,75,75
Bergfalke II,Bergfalke II,Scheibe-Flugzeugbau,Double,74,74,74,74,74
RF-5,RF-5,Fournier,Double,74,74,74,74,74
SF 25 E,SF 25 E,Scheibe-Flugzeugbau,Double,74,74,74,74,74
G 109 B,G 109 B,Grob Aircraft,Double,72,72,72,72,72
MDM-1 Fox,MDM-1 Fox,ZRPSL,Double,72,72,72,72,72
Taifun 17e,Taifun 17e,Valentin Flugzeugbau,Double,70,70,70,70,70
Dimona,Dimona,Diamond Aircraft,Double,68,68,68,68,68
G 109,G 109,Grob Aircraft,Double,68,68,68,68,68
H36 Dimona,H36 Dimona,Diamond Aircraft,Double,68,68,68,68,68
HK36 Super Dimona,HK36 Super Dimona,Diamond Aircraft,Double,68,68,68,68,68
Samburo AVo68-R,Samburo AVo68-R,M&D Flugzeugbau,Double,67,67,67,67,67
SF 25 C (2000),SF 25 C (2000),Scheibe-Flugzeugbau,Double,67,67,67,67,67
SF 25C-S Falke 76,SF 25C-S Falke 76,Scheibe-Flugzeugbau,Double,67,67,67,67,67
SF 25B Falke,SF 25B Falke,Scheibe-Flugzeugbau,Double,65,65,65,65,65
Rhönlerche,Rhönlerche,Alexander Schleicher,Double,54,54,54,54,54
Specht,Specht,Scheibe-Flugzeugbau,Double,54,54,54,54,54
